episode,timestep,reward
27,2000,-68.1111
54,4000,-70.1481
82,6000,-65.0357
109,8000,-69.2222
136,10000,-52.7407
164,12000,-43.0714
191,14000,-40.3333
219,16000,-40.5714
246,18000,-34.037
273,20000,-20.3333
301,22000,0.8571
328,24000,-4.3704
356,26000,16.3929
383,28000,1.3333
410,30000,44.7037
439,32000,42.1379
466,34000,57.6296
493,36000,43.2963
520,38000,85.4444
547,40000,72.2963
574,42000,138.963
601,44000,169.037
626,46000,182.36
652,48000,188.6154
676,50000,247.7083
700,52000,249.5833
724,54000,238.9167
747,56000,283.6087
770,58000,275.0
793,60000,312.1739
812,62000,380.5789
832,64000,387.95
851,66000,415.0
871,68000,399.3
888,70000,716.5882
898,72000,2139.2
917,74000,273.2105
935,76000,286.6667
950,78000,1224.5333
967,80000,677.3529
983,82000,469.0625
997,84000,661.8571
1017,86000,363.3
1037,88000,360.45
1063,90000,222.8846
1090,92000,212.2222
1114,94000,258.9167
1140,96000,214.1923
1164,98000,271.7083
1188,100000,231.7083
1210,102000,325.0909
1229,104000,396.8421
1250,106000,361.0
1265,108000,610.6
1280,110000,818.3333
1293,112000,1328.4615
1304,114000,1942.4545
1323,116000,371.6316
1336,118000,1605.0769
1351,120000,785.8
1370,122000,416.8421
1380,124000,2325.6
1398,126000,419.5
1418,128000,388.6
1436,130000,370.9444
1453,132000,977.4706
1463,134000,2189.9
1479,136000,962.0625
1495,138000,618.625
1508,140000,1516.6923
1520,142000,1354.0
1535,144000,768.8
1543,146000,3465.375
1557,148000,1178.0714
1568,150000,1658.7273
1576,152000,4791.875
1594,154000,289.5
1605,156000,2331.0
1612,158000,2666.2857
1622,160000,3424.2
1629,162000,4236.4286
1638,164000,3019.8889
1656,166000,496.7222
1669,168000,1672.2308
1684,170000,1023.6667
1696,172000,1895.4167
1706,174000,628.1
1711,176000,8613.0
1720,178000,5321.7778
1737,180000,353.7059
1749,182000,2751.9167
1762,184000,1075.9231
1775,186000,1837.6154
1787,188000,1524.25
1796,190000,2921.7778
1802,192000,4504.5
1816,194000,1903.0714
1833,196000,765.5882
1837,198000,8714.25
1854,200000,778.6471
1881,202000,-7.1481
1904,204000,51.3913
1922,206000,630.2222
1938,208000,1129.125
1964,210000,51.4231
1992,212000,5.6429
2016,214000,142.7917
2043,216000,111.1852
2066,218000,166.8696
2087,220000,585.0476
2110,222000,165.7826
2128,224000,322.9444
2145,226000,598.1176
2162,228000,822.1176
2183,230000,196.4286
2205,232000,124.5909
2229,234000,295.0
2247,236000,201.0
2260,238000,1487.5385
2271,240000,1908.4545
2298,242000,13.037
2322,244000,88.3333
2347,246000,41.36
2364,248000,716.5882
2390,250000,44.0
2412,252000,118.8182
2430,254000,693.1667
2456,256000,49.9231
2481,258000,25.12
2507,260000,-22.1538
2528,262000,520.2857
2550,264000,148.4545
2577,266000,-30.7037
2604,268000,-38.1111
2632,270000,-37.5357
2659,272000,-18.6296
2682,274000,-17.4348
2709,276000,230.7778
2736,278000,-29.4074
2763,280000,-19.963
2791,282000,-14.8571
2818,284000,-0.8519
2843,286000,24.8
2871,288000,-27.5357
2895,290000,211.375
2921,292000,31.0385
2948,294000,6.5185
2973,296000,35.28
2992,298000,434.1579
3014,300000,116.0909
3035,302000,179.2381
3058,304000,134.6957
3080,306000,100.9545
3094,308000,1183.3571
3119,310000,8.84
3140,312000,458.2857
3160,314000,194.45
3185,316000,24.36
3205,318000,388.15
3226,320000,97.0476
3240,322000,1569.8571
3257,324000,827.7647
3281,326000,92.75
3296,328000,655.6
3317,330000,192.0952
3331,332000,923.5714
3349,334000,523.0
3365,336000,969.8125
3377,338000,1442.3333
3393,340000,929.5625
3409,342000,1087.3125
3421,344000,1541.4167
