episode,timestep,reward
27,2000,-62.1852
54,4000,-63.8519
82,6000,-58.6071
109,8000,-62.7407
136,10000,-53.6667
164,12000,-41.4643
191,14000,-34.5926
219,16000,-18.25
246,18000,4.4815
273,20000,-11.0741
301,22000,43.1786
328,24000,43.4444
355,26000,67.6667
383,28000,79.0714
410,30000,97.5185
437,32000,95.2593
464,34000,149.3333
491,36000,111.0741
518,38000,153.1111
544,40000,168.7308
570,42000,216.7308
596,44000,189.0769
622,46000,196.3462
645,48000,252.6087
667,50000,311.5455
690,52000,292.5652
713,54000,256.3043
735,56000,307.8636
756,58000,344.3333
776,60000,365.3
797,62000,335.7143
818,64000,332.2857
834,66000,675.125
853,68000,410.0
875,70000,305.6818
891,72000,714.1875
907,74000,713.625
924,76000,529.2941
941,78000,372.3529
959,80000,472.2778
977,82000,320.0
997,84000,193.55
1015,86000,320.2778
1033,88000,346.3333
1052,90000,265.4211
1075,92000,177.2609
1095,94000,313.3
1115,96000,257.95
1134,98000,434.6316
1152,100000,362.1111
1168,102000,907.6875
1182,104000,841.1429
1206,106000,10.875
1227,108000,286.8571
1246,110000,329.8421
1262,112000,621.25
1282,114000,199.6
1296,116000,1467.5
1309,118000,741.6154
1327,120000,837.6667
1337,122000,2176.7
1353,124000,917.5625
1365,126000,1409.3333
1380,128000,442.4667
1400,130000,317.5
1418,132000,575.4444
1438,134000,233.2
1457,136000,340.7895
1477,138000,340.75
1494,140000,364.4118
1514,142000,337.35
1532,144000,410.2222
1547,146000,748.5333
1564,148000,482.4706
1584,150000,216.15
1596,152000,1890.5833
1615,154000,193.8421
1633,156000,240.3333
1647,158000,823.9286
1663,160000,775.1875
1676,162000,428.5385
1693,164000,965.4118
1706,166000,1396.4615
1722,168000,605.5625
1737,170000,734.6667
1751,172000,282.9286
1765,174000,1229.9286
1779,176000,870.8571
1793,178000,896.7143
1810,180000,601.4118
1827,182000,439.3529
1845,184000,325.8889
1862,186000,457.6471
1881,188000,381.2632
1896,190000,438.1333
1913,192000,740.1765
1935,194000,92.7727
1951,196000,566.3125
1967,198000,667.5
1987,200000,179.7
2005,202000,274.2222
