episode,timestep,reward
27,2000,-71.0741
54,4000,-71.8148
82,6000,-75.5714
109,8000,-67.3704
136,10000,-72.0
164,12000,-66.2857
191,14000,-66.6296
219,16000,-68.6071
246,18000,-63.4815
273,20000,-62.5556
301,22000,-61.6429
328,24000,-61.4444
356,26000,-51.2857
383,28000,-57.1852
410,30000,-30.8889
438,32000,-21.8214
465,34000,-14.2222
493,36000,-13.25
520,38000,61.037
547,40000,41.8889
573,42000,58.1538
601,44000,39.2143
626,46000,133.48
652,48000,155.1923
677,50000,182.8
702,52000,161.64
726,54000,223.875
750,56000,181.1667
772,58000,266.6364
795,60000,200.3043
818,62000,212.087
840,64000,235.4545
858,66000,421.3333
880,68000,290.4545
897,70000,547.4118
915,72000,363.4444
932,74000,652.7059
947,76000,840.6667
963,78000,885.4375
978,80000,714.7333
995,82000,497.9412
1009,84000,574.2857
1021,86000,1300.1667
1037,88000,573.125
1045,90000,2355.625
1059,92000,1285.0714
1068,94000,2980.6667
1074,96000,5792.5
1088,98000,870.7857
1104,100000,1045.0625
1110,102000,5620.0
1121,104000,2086.6364
1128,106000,5324.2857
1143,108000,670.2
1155,110000,1416.8333
1169,112000,1691.2143
1176,114000,3421.2857
1187,116000,1999.8182
1196,118000,2267.4444
1204,120000,2405.0
1210,122000,6880.6667
1215,124000,6228.2
1225,126000,1884.5
1234,128000,2273.6667
1241,130000,2863.1429
1248,132000,5844.7143
1269,134000,78.2381
1285,136000,657.9375
1301,138000,807.75
1312,140000,2418.1818
1323,142000,1113.7273
1348,144000,412.16
1373,146000,16.2
1396,148000,203.5652
1410,150000,1473.1429
1430,152000,350.15
1445,154000,1319.7333
1462,156000,771.2941
1482,158000,354.6
1502,160000,513.7
1524,162000,132.0909
1543,164000,61.6316
1563,166000,627.05
1579,168000,1027.75
1593,170000,1009.4286
1605,172000,1535.75
1624,174000,232.5263
1644,176000,234.65
1663,178000,291.9474
1681,180000,523.1667
1698,182000,385.2941
1716,184000,364.2778
1727,186000,1836.6364
1741,188000,738.5714
1759,190000,894.0
1770,192000,1858.0909
1780,194000,2266.3
1792,196000,2262.0833
1802,198000,860.9
1809,200000,5765.5714
1818,202000,1142.4444
1832,204000,2068.7857
1844,206000,1221.25
1852,208000,2257.625
1870,210000,1039.3333
1878,212000,2296.625
1889,214000,3450.8182
1899,216000,1624.2
1913,218000,841.7143
1925,220000,1745.25
1939,222000,768.7143
1947,224000,3157.75
1957,226000,2058.2
1966,228000,2720.3333
1978,230000,1728.0
1987,232000,3068.1111
1995,234000,2687.25
2007,236000,1961.3333
2017,238000,2868.9
2027,240000,2323.1
2040,242000,1479.5385
2050,244000,2224.7
2060,246000,3190.3
2067,248000,3324.1429
2070,250000,16579.0
2080,252000,2776.7
2092,254000,1616.75
2102,256000,2623.4
2111,258000,3735.3333
2117,260000,3067.0
2125,262000,4587.75
2134,264000,2201.7778
2144,266000,2385.2
2155,268000,3006.5455
2166,270000,1265.3636
2176,272000,3354.5
2184,274000,4185.625
2193,276000,2714.2222
2205,278000,1631.1667
2212,280000,3810.8571
2220,282000,3267.875
2231,284000,2617.8182
2242,286000,2496.2727
2250,288000,4178.875
2260,290000,2280.5
